ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,RATEAREA,SFPARKAREA,STREET_NUM,STREETNAME,STREET_SEG,Location
1,324-11041,324-11040,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1104,BATTERY ST,2767000,"(37.801541, -122.401568)"
2,700-02250,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,225,VALENCIA ST,13055000,"(37.769211, -122.422194)"
3,830-05560,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,556,EMBARCADERO NORTH,12556102,"(37.80091, -122.399398)"
4,330-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,330,BRANNAN ST,3075000,"(37.781456, -122.392718)"
5,593-00031,593-00030,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,3,OFARRELL ST,9720000,"(37.786743, -122.405087)"
6,464-03241,464-03240,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,324,HAYES ST,6815000,"(37.777044, -122.422208)"
7,462-18050,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1805,HAIGHT ST,6624000,"(37.769296, -122.452025)"
8,440-08401,440-08400,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,840,GEARY ST,6116000,"(37.786209, -122.417734)"
9,209-04620,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,462,09TH ST,458000,"(37.771378, -122.408779)"
10,440-38180,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,3818,GEARY BLVD,6058201,"(37.781318, -122.460687)"
11,216-31090,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,3109,16TH ST,732000,"(37.764803, -122.422644)"
12,370-01480,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,148,CAPP ST,3673000,"(37.763731, -122.418639)"
13,331-05770,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,577,BRYANT ST,3284000,"(37.779773, -122.397639)"
14,691-18030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1803,UNION ST,12867000,"(37.797844, -122.429065)"
15,525-00513,525-00500,13,Black,MS,Y,N,SFMTA,ON,0,MC5,Downtown,51,KAPLAN LN,7741000,"(37.784889, -122.398806)"
16,563-03220,563-03004,22,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,322,MCALLISTER ST,8893000,"(37.780508, -122.417526)"
17,701-05140,701-05004,14,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,514,VAN NESS AVE,13147202,"(37.780644, -122.4202)"
18,561-00141,561-00140,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,MAIN ST,8627000,"(37.792753, -122.396202)"
19,336-15311,336-15310,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1531,BUSH ST,3445000,"(37.78826, -122.423218)"
20,469-17520,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1752,HOLLOWAY AVE,6998201,"(37.721012, -122.480453)"
21,501-01121,501-01120,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,112,JESSIE ST,7517000,"(37.788219, -122.400689)"
22,331-05190,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,519,BRYANT ST,3283000,"(37.78071, -122.396448)"
23,684-01220,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,122,TOWNSEND ST,12657000,"(37.780088, -122.391342)"
24,445-06071,445-06070,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,607,GREEN ST,6454000,"(37.799416, -122.409338)"
25,490-00110,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,11,IRVING ST,7278000,"(37.764348, -122.457817)"
26,422-08560,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,856,FRONT ST,5874000,"(37.799591, -122.39998)"
27,612-17320,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1732,POLK ST,10572000,"(37.793013, -122.421102)"
28,687-00630,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,63,TAPIA DR,12375000,"(37.721631, -122.480578)"
29,666-24120,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2412,SUTTER ST,12343000,"(37.785237, -122.440382)"
30,202-05460,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,546,02ND ST,144000,"(37.782545, -122.3931)"
31,204-03200,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,South Embarcadero,320,04TH ST,256000,"(37.781605, -122.400792)"
32,204-03220,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,South Embarcadero,322,04TH ST,256000,"(37.781592, -122.400775)"
33,328-01290,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,Downtown,129,BEALE ST,2864000,"(37.790628, -122.395002)"
34,684-03951,684-03950,1,Black,MS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,395,TOWNSEND ST,12663000,"(37.775306, -122.397049)"
35,330-05380,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,538,BRANNAN ST,3080000,"(37.777646, -122.397544)"
36,563-03260,563-03004,26,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,326,MCALLISTER ST,8893000,"(37.780505, -122.417548)"
37,864-04190,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,419,SPEAR ST,12048000,"(37.788488, -122.38886)"
38,606-15341,606-15340,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1534,PINE ST,10477000,"(37.789566, -122.421455)"
39,462-05231,462-05230,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,523,HAIGHT ST,6608000,"(37.771944, -122.431239)"
40,724-02340,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,234,WILLOW ST,13664000,"(37.783244, -122.422061)"
41,472-00601,472-00600,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,60,HYDE ST,7114000,"(37.781079, -122.415309)"
42,590-00660,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Civic Center,66,OAK ST,9750000,"(37.775314, -122.420827)"
43,612-21341,612-21340,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,2134,POLK ST,10576000,"(37.796739, -122.42185)"
44,651-05021,651-05020,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,502,SANSOME ST,11549000,"(37.794956, -122.401441)"
45,720-03271,720-03270,1,Black,MS,Y,N,SFMTA,ON,0,MC5,Downtown,327,WASHINGTON ST,13405000,"(37.795906, -122.399847)"
46,691-15150,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1515,UNION ST,12864000,"(37.798407, -122.424638)"
47,469-17440,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1744,HOLLOWAY AVE,6998201,"(37.72101, -122.480409)"
48,463-00371,463-00370,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,37,HAWTHORNE ST,6809000,"(37.784992, -122.398144)"
49,203-06030,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,603,03RD ST,179000,"(37.780052, -122.394103)"
50,568-02151,568-02150,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,215,MISSION ST,9085000,"(37.791558, -122.395159)"
51,500-17030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1703,JACKSON ST,7397000,"(37.79385, -122.423294)"
52,104-02980,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,298,04TH AVE,240000,"(37.783167, -122.462221)"
53,324-09341,324-09341,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,934,BATTERY ST,2764000,"(37.800286, -122.401315)"
54,612-03020,612-03002,2,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,302,POLK ST,10549000,"(37.779465, -122.418301)"
55,701-05200,701-05004,20,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,520,VAN NESS AVE,13147202,"(37.780681, -122.420208)"
56,490-10190,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1019,IRVING ST,7288000,"(37.763852, -122.468824)"
57,422-02021,422-02020,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,202,FRONT ST,5869000,"(37.793502, -122.398732)"
58,202-00031,202-00030,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,3,02ND ST,129000,"(37.789199, -122.401166)"
59,700-02230,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,223,VALENCIA ST,13055000,"(37.769233, -122.422195)"
60,857-17150,857-17001,15,Black,MS,N,N,PORT,ON,0,PortMC1, ,1715,MONTGOMERY ST,9321000,"(37.804896, -122.405258)"
61,440-28030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2803,GEARY BLVD,6047102,"(37.782097, -122.449165)"
62,857-17110,857-17001,11,Black,MS,N,N,PORT,ON,0,PortMC1, ,1711,MONTGOMERY ST,9321000,"(37.804925, -122.405264)"
63,691-22530,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2253,UNION ST,12872000,"(37.79684, -122.436961)"
64,350-14470,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1447,CALIFORNIA ST,3547000,"(37.790719, -122.418895)"
65,687-00590,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,59,TAPIA DR,12375000,"(37.72165, -122.480577)"
66,600-03161,600-03160,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,316,PACIFIC AVE,10119000,"(37.797628, -122.401433)"
67,600-03181,600-03180,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,318,PACIFIC AVE,10119000,"(37.797618, -122.401511)"
68,612-12281,612-12280,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1228,POLK ST,10566000,"(37.788296, -122.420147)"
69,472-00541,472-00540,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.780929, -122.415279)"
70,324-05051,324-05050,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,505,BATTERY ST,2760000,"(37.796062, -122.400613)"
71,611-03730,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,373,PARNASSUS AVE,10293000,"(37.763594, -122.457191)"
72,462-05131,462-05130,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,513,HAIGHT ST,6608000,"(37.771989, -122.43088)"
73,440-28070,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2807,GEARY BLVD,6047102,"(37.782093, -122.449188)"
74,568-17441,568-17440,1,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.768755, -122.420116)"
75,216-31380,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,3138,16TH ST,733000,"(37.764917, -122.423027)"
76,340-00145,340-00140,5,Black,MS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,14,BLUXOME ST,2993000,"(37.777406, -122.396239)"
77,720-03279,720-03270,9,Black,MS,Y,N,SFMTA,ON,0,MC5,Downtown,327,WASHINGTON ST,13405000,"(37.795894, -122.399944)"
78,658-00541,658-00540,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,54,SPEAR ST,12044000,"(37.793023, -122.394795)"
79,463-00411,463-00410,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,41,HAWTHORNE ST,6809000,"(37.784871, -122.397991)"
80,470-06321,470-06320,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,632,HOWARD ST,7035000,"(37.786385, -122.398889)"
81,651-00146,651-00140,6,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,SANSOME ST,11542000,"(37.7907, -122.400569)"
82,324-11061,324-11060,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1106,BATTERY ST,2767000,"(37.801601, -122.401579)"
83,612-18200,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1820,POLK ST,10573000,"(37.793765, -122.421249)"
84,400-02440,-,0,Black,SS,N,N,SFMTA,ON,0,MC2, ,244,EDDY ST,5060000,"(37.784022, -122.412429)"
85,211-00051,211-00050,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,5,11TH ST,508000,"(37.775453, -122.41838)"
86,612-03440,612-03006,44,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,344,POLK ST,10549000,"(37.780022, -122.418414)"
87,500-15331,500-15330,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1533,JACKSON ST,7395000,"(37.794166, -122.420809)"
